annee,region,culture,saison,temperature_C,precipitations_mm,humidite_pct,rayonnement_MJm2,etp_mmd,usage_terres_pct,stress_ecologique_idx,type_sol,ph_sol,matiere_organique_pct,N_kgha,P_kgha,K_kgha,irrigation,pratique_agricole,altitude_m,superficie_ha,rendement_tha,NK_ratio,NP_ratio,NPK_total,indice_aridite,bilan_hydrique,temp_x_humidite,region_encoded,culture_encoded,saison_encoded,type_sol_encoded,irrigation_encoded,pratique_agricole_encoded
2004,Extrême-Nord,mil,grande_saison_pluies,40.57,748.77,20.15,17.77,4.79,36.15,41.91,sableux,5.7,1.21,17.27,16.72,41.37,goutte-à-goutte,traditionnelle,85.7,0.86,0.92,0.4075997167807411,0.9746049661399548,75.35999999999999,2.3318484335196126,-999.5799999999999,8.174855,3,12,0,11,1,4
2014,Est,bananier,saison_sèche,24.48,1622.81,79.19,18.33,4.74,83.56,19.15,alluvial,5.77,2.87,239.41,57.07,230.89,non_irriguée,améliorée,661.6,1.67,11.58,1.0324291690025444,4.12278284828655,527.37,1.0654571655550835,-107.29000000000019,19.385712,2,2,3,0,3,0
2000,Centre,tomate,grande_saison_pluies,22.24,1570.8,69.13,15.9,2.07,62.59,29.29,ferrallitique,6.49,2.45,88.98,85.58,155.29,non_irriguée,améliorée,779.0,0.66,9.3,0.5693262524793653,1.0277200277200278,329.85,0.4806909275989312,815.25,15.374511999999998,1,23,0,4,3,0
2003,Sud,palmier_à_huile,saison_sèche,29.89,1827.4,75.02,19.87,5.5,36.84,22.8,ferrallitique,5.37,4.9,91.08,43.39,216.16,aspersion,améliorée,780.6,1.97,12.33,0.4194142567692024,2.0518134715025904,350.63,1.097954495733975,-180.0999999999999,22.423478,8,15,3,4,0,0
2019,Centre,maïs,saison_sèche,22.64,1439.14,87.1,18.41,3.64,54.83,50.27,alluvial,6.58,2.35,87.5,51.4,59.77,aspersion,améliorée,661.9,4.39,1.58,1.439855191706434,1.669847328244275,198.67000000000002,0.9225491966058855,110.53999999999996,19.71944,1,11,3,0,0,0
2017,Centre,palmier_à_huile,grande_saison_pluies,28.47,1500.81,80.93,14.26,4.53,47.88,37.09,hydromorphe,5.65,3.63,112.28,54.22,185.19,aspersion,intégrée,601.5,2.52,17.42,0.603039905472904,2.033321260412894,351.69,1.1009714943967612,-152.6400000000001,23.040771,1,15,0,8,0,3
2008,Est,riz,petite_saison_sèche,19.04,1439.37,83.29,16.81,3.82,30.44,58.11,ferrallitique,6.35,2.75,103.7,31.01,62.32,aspersion,conventionnelle,685.0,2.78,1.6,1.6377132027795325,3.2396126210559197,197.03,0.968015162770677,45.069999999999936,15.858416,2,19,2,4,0,2
2021,Ouest,café_arabica,petite_saison_sèche,29.96,2116.63,64.95,17.33,4.6,90.38,45.49,andosolique,6.3,0.81,75.26,10.69,62.79,gravitaire,intégrée,1445.7,7.39,0.44,1.179808747452579,6.437981180496151,148.74,0.7928674980992901,437.63000000000034,19.45902,7,5,2,1,2,3
2014,Centre,maïs,petite_saison_sèche,23.62,1690.68,55.45,19.1,4.99,27.47,53.68,hydromorphe,6.37,4.03,118.26,64.57,76.36,gravitaire,biologique,683.2,3.44,2.21,1.5286970010341263,1.8035687052005493,259.19,1.0766516125981274,-130.67000000000007,13.097290000000001,1,11,2,8,2,1
2019,Ouest,café_arabica,petite_saison_sèche,21.63,2148.74,83.95,23.93,2.29,60.36,47.94,limoneux,6.62,4.11,90.22,33.01,99.1,aspersion,biologique,1859.3,0.23,0.49,0.9012987012987014,2.65274919141429,222.32999999999998,0.3888144612836902,1312.8899999999999,18.158385,7,5,2,10,0,1
