annee,region,culture,saison,temperature_C,precipitations_mm,humidite_pct,rayonnement_MJm2,etp_mmd,co2_ppm,usage_terres_pct,stress_ecologique_idx,type_sol,ph_sol,matiere_organique_pct,N_kgha,P_kgha,K_kgha,irrigation,pratique_agricole,altitude_m,superficie_ha,rendement_tha,production_t
2004,Extrême-Nord,mil,grande_saison_pluies,40.57,748.77,20.15,17.77,4.79,392.51,36.15,41.91,sableux,5.7,1.21,17.27,16.72,41.37,goutte-à-goutte,traditionnelle,85.7,0.86,0.92,0.79
2014,Est,bananier,saison_sèche,24.48,1622.81,79.19,18.33,4.74,417.07,83.56,19.15,alluvial,5.77,2.87,239.41,57.07,230.89,non_irriguée,améliorée,661.6,1.67,11.58,19.34
2000,Centre,tomate,grande_saison_pluies,22.24,1570.8,69.13,15.9,2.07,371.47,62.59,29.29,ferrallitique,6.49,2.45,88.98,85.58,155.29,non_irriguée,améliorée,779.0,0.66,9.3,6.14
2003,Sud,palmier_à_huile,saison_sèche,29.89,1827.4,75.02,19.87,5.5,390.29,36.84,22.8,ferrallitique,5.37,4.9,91.08,43.39,216.16,aspersion,améliorée,780.6,1.97,12.33,24.29
2019,Centre,maïs,saison_sèche,22.64,1439.14,87.1,18.41,3.64,433.68,54.83,50.27,alluvial,6.58,2.35,87.5,51.4,59.77,aspersion,améliorée,661.9,4.39,1.58,6.94
2017,Centre,palmier_à_huile,grande_saison_pluies,28.47,1500.81,80.93,14.26,4.53,418.61,47.88,37.09,hydromorphe,5.65,3.63,112.28,54.22,185.19,aspersion,intégrée,601.5,2.52,17.42,43.9
2008,Est,riz,petite_saison_sèche,19.04,1439.37,83.29,16.81,3.82,404.3,30.44,58.11,ferrallitique,6.35,2.75,103.7,31.01,62.32,aspersion,conventionnelle,685.0,2.78,1.6,4.45
2021,Ouest,café_arabica,petite_saison_sèche,29.96,2116.63,64.95,17.33,4.6,433.31,90.38,45.49,andosolique,6.3,0.81,75.26,10.69,62.79,gravitaire,intégrée,1445.7,7.39,0.44,3.25
2014,Centre,maïs,petite_saison_sèche,23.62,1690.68,55.45,19.1,4.99,422.8,27.47,53.68,hydromorphe,6.37,4.03,118.26,64.57,76.36,gravitaire,biologique,683.2,3.44,2.21,7.6
2019,Ouest,café_arabica,petite_saison_sèche,21.63,2148.74,83.95,23.93,2.29,427.39,60.36,47.94,limoneux,6.62,4.11,90.22,33.01,99.1,aspersion,biologique,1859.3,0.23,0.49,0.11
2004,Littoral,macabo,petite_saison_pluies,24.17,2243.16,83.21,25.68,5.59,383.02,41.74,53.86,sableux_côtier,6.58,3.79,71.72,35.98,82.51,gravitaire,intégrée,71.5,2.39,9.17,21.92
2002,Nord,mil,petite_saison_sèche,22.65,775.72,47.55,17.85,5.3,387.93,42.09,61.79,sableux,6.78,5.21,33.75,22.4,20.3,non_irriguée,biologique,459.9,0.1,0.39,0.04
2008,Sud-Ouest,cacaotier,grande_saison_pluies,25.55,3298.06,84.54,16.64,3.75,392.46,59.02,61.44,alluvial,6.09,3.24,76.68,37.16,154.66,gravitaire,traditionnelle,250.3,1.72,0.55,0.95
